City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,coquimbo,-29.9533,-71.3436,18.85,77,0,2.57,CL,1675658866
164,madimba,-10.4,40.3333,24.74,90,100,3.05,TZ,1675658806
165,sochi,43.6,39.7303,3.05,55,100,4.15,RU,1675658718
166,gandia,38.9667,-0.1833,10.91,93,1,0.45,ES,1675658997
167,hamilton,39.1834,-84.5333,6.52,72,0,3.6,US,1675658997
168,bhimunipatnam,17.8833,83.4333,26.73,55,13,1.56,IN,1675658998
169,yeppoon,-23.1333,150.7333,30.88,76,58,7.49,AU,1675658998
170,machali,-34.1833,-70.6667,18.9,68,2,0.86,CL,1675658920
171,port augusta,-32.5,137.7667,32.91,19,8,5.12,AU,1675658873
172,kaitangata,-46.2817,169.8464,19.54,53,69,4.82,NZ,1675658998
173,asfi,32.2994,-9.2372,12.11,64,0,0.91,MA,1675658999
174,port hedland,-20.3167,118.5667,37.03,39,0,7.72,AU,1675658999
175,jumla,29.2747,82.1838,11.66,21,0,2.39,NP,1675658999
176,lazaro cardenas,17.9583,-102.2,22.62,85,0,1.89,MX,1675659000
177,general roca,-39.0333,-67.5833,24.23,23,0,10.44,AR,1675659000
178,esperance,-33.8667,121.9,31.36,38,72,7.93,AU,1675658849
179,torbay,47.6666,-52.7314,-0.79,86,75,9.77,CA,1675658736
180,sorland,67.667,12.6934,5.92,86,100,13.97,NO,1675659000
181,ojinaga,29.5667,-104.4167,14.53,41,0,4.12,MX,1675659001
182,arraial do cabo,-22.9661,-42.0278,23.51,88,53,1.89,BR,1675658722
183,chuy,-33.6971,-53.4616,17.58,88,0,2.18,UY,1675659001
184,staryy nadym,65.6118,72.6842,-26.03,100,96,1.05,RU,1675659001
185,narsaq,60.9167,-46.05,-13.88,86,86,3.72,GL,1675658850
186,barinas,8.6226,-70.2075,26.21,48,74,1.44,VE,1675659002
187,roald,62.5833,6.1333,7.84,65,100,7.2,NO,1675658857
188,makakilo city,21.3469,-158.0858,25.18,70,40,4.12,US,1675659002
189,saint-philippe,-21.3585,55.7679,28.77,78,71,5.46,RE,1675658761
190,mukhen,48.1,136.1,-12.38,70,37,4.56,RU,1675659003
191,ancud,-41.8697,-73.8203,10.91,88,36,1.97,CL,1675658835
192,portland,45.5234,-122.6762,8.13,87,100,2.06,US,1675658791
193,pasighat,28.0667,95.3333,24.24,31,18,2.0,IN,1675659003
194,springfield,37.2153,-93.2982,8.32,65,0,3.09,US,1675658735
195,lompoc,34.6391,-120.4579,10.99,76,20,10.73,US,1675659003
196,pundaguitan,6.3711,126.1689,27.25,75,88,4.19,PH,1675659004
197,tuatapere,-46.1333,167.6833,19.55,51,85,4.78,NZ,1675658828
198,east london,-33.0153,27.9116,23.52,88,75,3.6,ZA,1675659004
199,san quintin,30.4833,-115.95,13.51,84,50,9.0,MX,1675658983
200,cabo rojo,18.0866,-67.1457,24.82,66,3,0.45,PR,1675659004
201,zharkovskiy,55.849,32.2697,-8.78,94,100,2.5,RU,1675659005
202,kavaratti,10.5669,72.642,27.2,70,25,1.85,IN,1675658946
203,newport,51.5877,-2.9984,2.06,86,8,1.05,GB,1675659005
204,kayes,14.0,-11.0,22.67,16,62,2.38,ML,1675658921
205,miri,4.4148,114.0089,28.08,89,40,3.6,MY,1675658888
206,casper,42.8666,-106.3131,0.33,69,0,12.35,US,1675658774
207,gabrovo,42.8747,25.3342,-6.51,90,100,0.45,BG,1675659006
208,anaconda,46.1285,-112.9423,-1.45,87,97,3.61,US,1675658942
209,sitka,57.0531,-135.33,5.94,70,100,12.35,US,1675659006
210,topolobampo,25.6,-109.05,14.95,77,0,2.57,MX,1675658723
211,hagenow,53.4333,11.1833,0.77,97,88,2.56,DE,1675659006
212,watertown,42.3709,-71.1828,4.83,73,0,3.6,US,1675658765
213,lorengau,-2.0226,147.2712,28.52,75,87,1.79,PG,1675658776
214,hima,0.2958,30.1804,21.13,49,78,0.08,UG,1675659007
215,tessalit,20.1986,1.0114,18.08,12,1,3.14,ML,1675658919
216,huancabamba,-5.2386,-79.4506,14.36,92,59,2.23,PE,1675659007
217,contamana,-7.3333,-75.0167,22.79,93,98,0.31,PE,1675659008
218,mangai,-4.05,19.5333,19.66,97,89,1.03,CD,1675659008
219,faanui,-16.4833,-151.75,27.57,73,11,6.46,PF,1675658801
220,severo-yeniseyskiy,60.3725,93.0408,-14.19,93,99,1.6,RU,1675658880
221,limin khersonisou,35.3162,25.3928,7.05,81,75,13.38,GR,1675659008
222,kantang,7.4054,99.5156,33.88,82,20,2.57,TH,1675658919
223,salina,38.8403,-97.6114,4.41,64,0,2.57,US,1675658782
224,opuwo,-18.0607,13.84,17.92,52,95,0.71,NA,1675659009
225,channel-port aux basques,47.5702,-59.1367,-0.15,97,100,4.55,CA,1675659009
226,saint-hyacinthe,45.6168,-72.9491,1.1,98,100,1.06,CA,1675659009
227,bilibino,68.0546,166.4372,-36.52,100,100,0.66,RU,1675659009
228,gibraltar,36.1447,-5.3526,14.97,72,100,7.72,GI,1675659010
229,sussex,41.1834,-74.6663,3.71,65,100,0.45,US,1675659010
230,guanay,-15.4975,-67.8797,19.55,100,100,0.64,BO,1675659010
231,tuktoyaktuk,69.4541,-133.0374,-42.0,60,0,2.57,CA,1675659011
232,oud-turnhout,51.32,4.9823,3.21,94,34,1.9,BE,1675659011
