City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,pailon,-17.65,-62.75,27.5,73,83,2.25,BO,1675375522
130,tasiilaq,65.6145,-37.6368,-5.91,86,100,1.68,GL,1675375343
131,tierra colorada,17.1667,-99.5833,28.31,27,1,3.7,MX,1675375522
132,gouyave,12.1646,-61.7296,27.43,69,40,7.72,GD,1675375334
133,vestmannaeyjar,63.4427,-20.2734,3.61,66,100,13.81,IS,1675375411
134,meulaboh,4.1363,96.1285,24.37,91,100,2.18,ID,1675375460
135,kamariotissa,40.4833,25.4667,10.73,65,100,5.52,GR,1675375523
136,saint anthony,45.0205,-93.218,-13.97,48,0,10.8,US,1675375523
137,beloha,-25.1667,45.05,21.83,84,60,5.01,MG,1675375523
138,capreol,46.706,-80.9225,-12.74,61,20,9.77,CA,1675375461
139,hithadhoo,-0.6,73.0833,28.18,64,87,5.81,MV,1675375212
140,fort walton beach,30.4058,-86.6188,24.36,91,40,5.81,US,1675375309
141,almaznyy,48.0448,40.045,-0.22,83,98,2.6,RU,1675375524
142,olean,42.0776,-78.4297,1.32,62,0,6.27,US,1675375524
143,hearst,49.6835,-83.6665,-24.86,87,100,5.66,CA,1675375525
144,sorgun,39.8101,35.186,-3.65,88,99,3.03,TR,1675375525
145,atar,20.5169,-13.0499,20.14,14,15,4.55,MR,1675375187
146,saskylakh,71.9167,114.0833,-25.46,99,100,1.25,RU,1675375189
147,nikolskoye,59.7035,30.7861,-1.06,98,100,0.81,RU,1675375214
148,goure,13.9835,10.2704,20.87,18,82,4.22,NE,1675375525
149,bowen,-20.0167,148.2333,26.96,77,97,1.83,AU,1675375526
150,leningradskiy,69.3833,178.4167,-30.27,100,100,2.39,RU,1675375256
151,upernavik,72.7868,-56.1549,-22.82,86,80,1.97,GL,1675375218
152,tianpeng,30.9866,103.9393,5.26,75,67,3.66,CN,1675375527
153,mabai,23.0128,104.4508,10.82,94,100,0.79,CN,1675375527
154,lata,40.1629,-8.3327,5.6,79,0,1.68,PT,1675375527
155,san cristobal,7.7669,-72.225,24.1,33,5,2.3,VE,1675375165
156,ornskoldsvik,63.2909,18.7153,-9.47,92,0,2.57,SE,1675375528
157,mar del plata,-38.0023,-57.5575,23.38,86,75,9.39,AR,1675375025
158,lloydminster,53.2835,-110.0016,-20.88,65,100,8.75,CA,1675375528
159,saldanha,-33.0117,17.9442,16.03,85,0,8.26,ZA,1675375298
160,hogyesz,46.497,18.4184,3.45,72,35,6.84,HU,1675375528
161,parrita,9.5201,-84.3225,28.5,63,77,2.42,CR,1675375529
162,touros,-5.1989,-35.4608,26.76,76,49,6.89,BR,1675375177
163,miraflores,19.2167,-98.8083,24.46,21,1,1.25,MX,1675375529
164,anloga,5.7947,0.8973,27.4,82,6,4.67,GH,1675375529
165,burley,42.5357,-113.7928,-0.39,91,20,3.7,US,1675375530
166,visnes,59.3556,5.2242,4.56,93,100,8.75,NO,1675375530
167,yabrud,33.9674,36.6574,-0.2,77,22,2.57,SY,1675375531
168,sao filipe,14.8961,-24.4956,22.23,72,31,6.5,CV,1675375287
169,virginia beach,36.8529,-75.978,5.03,77,100,2.57,US,1675375437
170,hobyo,5.3505,48.5268,24.34,70,99,7.91,SO,1675375531
171,ust-tsilma,65.441,52.1498,-14.2,99,97,1.0,RU,1675375532
172,kambove,-10.8764,26.5969,16.8,96,100,1.01,CD,1675375532
173,killybegs,54.6333,-8.45,10.06,91,100,9.54,IE,1675375532
174,totoro,2.512,-76.4012,14.76,76,61,0.74,CO,1675375533
175,acarau,-2.8856,-40.12,26.53,81,100,5.8,BR,1675375533
176,santa rosa,14.3122,121.1114,25.62,83,33,4.78,PH,1675375406
177,georgetown,5.4112,100.3354,24.96,100,20,1.03,MY,1675374938
178,fallon,39.4735,-118.7774,7.93,45,75,1.54,US,1675375534
179,mayor pablo lagerenza,-19.9309,-60.7718,29.25,59,100,1.8,PY,1675375534
180,guerrero negro,27.9769,-114.0611,19.89,35,13,4.73,MX,1675375318
181,kahama,-3.8333,32.6,18.14,87,98,1.93,TZ,1675375535
182,lorengau,-2.0226,147.2712,27.66,76,77,0.86,PG,1675375228
183,araguacu,-12.9306,-49.8264,24.04,86,67,1.46,BR,1675375535
184,killarney,52.05,-9.5167,8.33,94,61,3.32,IE,1675375535
185,beringovskiy,63.05,179.3167,-12.96,94,100,5.48,RU,1675375181
186,vevey,46.4612,6.8433,3.82,87,13,2.59,CH,1675375536
187,grand-santi,4.25,-54.3833,22.73,98,50,1.35,GF,1675375536
188,esperance,-33.8667,121.9,16.08,73,46,3.56,AU,1675375242
189,fairbanks,64.8378,-147.7164,-11.62,84,100,2.06,US,1675375536
190,valleyview,55.0667,-117.2859,-11.98,79,98,6.17,CA,1675375246
191,estelle,29.8458,-90.1067,13.89,86,100,4.63,US,1675375329
192,keti bandar,24.1447,67.4497,19.68,50,0,2.89,PK,1675375537
193,labuhan,-6.8844,112.2051,24.5,89,100,2.67,ID,1675375377
194,ygatimi,-24.0833,-55.5,27.94,73,68,1.71,PY,1675375537
195,akdagmadeni,39.6603,35.8836,-4.42,87,87,3.89,TR,1675375538
196,maple creek,49.9168,-109.4848,-11.97,72,100,9.26,CA,1675375538
197,sao miguel do tapuio,-5.5036,-41.3233,24.09,77,100,1.47,BR,1675375538
